3,33180,24,100000
5,33180,59,100000
7,33180,196,100000
9,33180,263,100000
11,33180,337,100000
13,33180,467,100000
15,33180,637,100000
3,307200,102,100000
5,307200,190,100000
7,307200,369,100000
9,307200,584,100000
11,307200,866,100000
13,307200,1204,100000
15,307200,2416,100000
3,65536,47,100000
5,65536,114,100000
7,65536,327,100000
9,65536,475,100000
11,65536,741,100000
13,65536,944,100000
15,65536,1296,100000
3,563200,140,100000
5,563200,286,100000
7,563200,490,100000
9,563200,1141,100000
11,563200,1550,100000
13,563200,2125,100000
15,563200,2779,100000
3,12404937,1592,100000
5,12404937,5665,100000
7,12404937,12011,100000
9,12404937,18859,100000
11,12404937,26379,100000
13,12404937,35445,100000
15,12404937,46176,100000
3,3840000,791,100000
5,3840000,1915,100000
7,3840000,3552,100000
9,3840000,5936,100000
11,3840000,8869,100000
13,3840000,12613,100000
15,3840000,16383,100000
3,42177408,5260,100000
5,42177408,16160,100000
7,42177408,35016,100000
9,42177408,58620,100000
11,42177408,91206,100000
13,42177408,125938,100000
15,42177408,159964,100000
3,33180,27,100000,8
5,33180,62,100000,8
7,33180,171,100000,8
9,33180,275,100000,8
11,33180,333,100000,8
13,33180,472,100000,8
15,33180,640,100000,8
3,307200,86,100000,8
5,307200,185,100000,8
