3,33180,26
5,33180,57
7,33180,196
9,33180,210
11,33180,360
13,33180,460
15,33180,618
3,307200,141
5,307200,410
7,307200,993
9,307200,1621
11,307200,2681
13,307200,4398
15,307200,5614
3,65536,41
5,65536,109
7,65536,273
9,65536,407
11,65536,702
13,65536,972
15,65536,1318
3,563200,215
5,563200,659
7,563200,1443
9,563200,2400
11,563200,3951
13,563200,5571
15,563200,7744
3,12404937,4315
5,12404937,16079
7,12404937,36035
9,12404937,55851
11,12404937,87966
13,12404937,113422
15,12404937,160951
3,3840000,2083
5,3840000,7287
7,3840000,11997
9,3840000,20261
11,3840000,31235
13,3840000,45300
15,3840000,61510
3,42177408,16479
5,42177408,54364
7,42177408,119655
9,42177408,214571
11,42177408,333894
13,42177408,484098
15,42177408,631417
3,33180,30,8
5,33180,60,8
7,33180,197,8
9,33180,262,8
11,33180,336,8
13,33180,472,8
15,33180,651,8
3,307200,133,8
